make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Volvo,V90 FWD,26,Automatic,8,FWD,2,4,Mid St Wagon,Y,Turbo,Premium,None,Y
Volvo,V90 AWD,24.7474,Automatic,8,AWD,2,4,Mid St Wagon,Y,Super+Turbo,Premium,None,Y
Volvo,V90 CC AWD,23.685,Automatic,8,AWD,2,4,Mid St Wagon,Y,Super+Turbo,Premium,None,Y
Chevrolet,Equinox FWD,25.3669,Automatic,9,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
GMC,Terrain FWD,27.4108,Automatic,9,FWD,1.5,4,Sm SUV,Y,Turbo,Regular,None,Y
Volvo,XC60 FWD,24.4149,Automatic,8,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Volvo,XC40 FWD,26.7102,Automatic,8,FWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Chevrolet,Equinox AWD,24.1864,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Volvo,XC60 AWD,22.8409,Automatic,8,AWD,2,4,Sm SUV,Y,Super+Turbo,Premium,None,Y
Volvo,XC40 AWD,25.0718,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Volvo,XC90 FWD,24.5182,Automatic,8,FWD,2,4,Std SUV,Y,Turbo,Premium,None,Y
Ford,Explorer AWD,20.4611,Automatic,10,PT 4WD,3,6,Std SUV,Y,Turbo,Regular,None,Y
Ford,Explorer FFV AWD,18.7074,Automatic,10,PT 4WD,3.3,6,Std SUV,Y,Natural,Regular,FFV,N
Chevrolet,Trax FWD,28.0161,Automatic,6,FWD,1.4,4,Sm SUV,N,Turbo,Regular,None,N
Chevrolet,Trax AWD,25.8831,Automatic,6,AWD,1.4,4,Sm SUV,N,Turbo,Regular,None,N
Volvo,XC60 AWD,22.9931,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Buick,Enclave AWD,20.0162,Automatic,9,AWD,3.6,6,Std SUV,Y,Natural,Regular,None,Y
Volvo,XC90 AWD,22.9931,Automatic,8,AWD,2,4,Std SUV,Y,Turbo,Premium,None,Y
Kia,Optima Plug-in Hybrid,41.1024,Manual,6,FWD,2,4,Midsize,Y,Natural,Regular,Plug-in Hybrid,Y
Alfa Romeo,4C,27.9406,Manual,6,RWD,1.8,4,Two Seater,Y,Turbo,Premium,None,N
Chevrolet,Sonic,28.8278,Automatic,6,FWD,1.4,4,Compact,N,Turbo,Regular,None,N
Nissan,Altima,32,CVT,1,FWD,2.5,4,Midsize,Y,Natural,Regular,None,N
Nissan,Altima AWD,30.2081,CVT,1,AWD,2.5,4,Midsize,Y,Natural,Regular,None,N
Nissan,Altima AWD SR/Platinum,29,CVT,1,AWD,2.5,4,Midsize,Y,Natural,Regular,None,N
Nissan,Altima SR/Platinum,28.6068,CVT,1,FWD,2,4,Midsize,Y,Turbo,Regular,None,N
Kia,K900,20.8639,Automatic,8,AWD,3.3,6,Large,Y,Turbo,Premium,None,Y
Chevrolet,Sonic 5,28.8278,Automatic,6,FWD,1.4,4,Sm St Wagon,N,Turbo,Regular,None,N
Cadillac,XT4 FWD,26.4849,Automatic,9,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Infiniti,QX60 FWD,22.302,CVT,7,FWD,3.5,6,Sm SUV,Y,Natural,Premium,None,N
Cadillac,XT4 AWD,24.2745,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Subaru,BRZ,23.7786,Manual,6,RWD,2,4,Minicompact,Y,Natural,Premium,None,N
Subaru,BRZ,27.4825,Automatic,6,RWD,2,4,Minicompact,Y,Natural,Premium,None,N
Chevrolet,Camaro,15.7384,Manual,6,RWD,6.2,8,Subcompact,Y,Super,Premium,None,N
Chevrolet,Camaro,23.3581,Manual,6,RWD,2,4,Subcompact,Y,Turbo,Premium,None,N
Chevrolet,Camaro,24.9925,Automatic,8,RWD,2,4,Subcompact,Y,Turbo,Premium,None,N
Kia,Rio,35.8416,CVT,1,FWD,1.6,4,Compact,N,Natural,Regular,None,N
Subaru,WRX,23.1422,Manual,6,AWD,2,4,Compact,Y,Turbo,Premium,None,N
Subaru,WRX,18.6117,Manual,6,AWD,2.5,4,Compact,N,Turbo,Premium,None,N
Buick,Regal,25.91,Automatic,9,FWD,2,4,Midsize,Y,Turbo,Premium,None,N
Buick,Regal AWD,24.3822,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,N
Subaru,Legacy AWD,30.0538,CVT,8,AWD,2.5,4,Large,Y,Natural,Regular,None,N
Subaru,Legacy AWD,26.919,CVT,8,AWD,2.4,4,Large,Y,Turbo,Regular,None,Y
Mitsubishi,Eclipse Cross 2WD,26,CVT,8,FWD,1.5,4,Sm SUV,Y,Turbo,Regular,None,N
Mitsubishi,Eclipse Cross ES 2WD,27,CVT,8,FWD,1.5,4,Sm SUV,Y,Turbo,Regular,None,N
Subaru,Forester AWD,28.6895,CVT,7,AWD,2.5,4,Sm SUV,Y,Natural,Regular,None,Y
Subaru,Outback AWD,28.7858,CVT,8,AWD,2.5,4,Sm SUV,Y,Natural,Regular,None,Y
Cadillac,Escalade 2WD,17.1741,Automatic,10,RWD,6.2,8,Std SUV,Y,Natural,Premium,None,N
Chevrolet,Tahoe C1500 2WD,17.5914,Automatic,6,RWD,5.3,8,Std SUV,Y,Natural,Regular,FFV,N
Chevrolet,Tahoe C1500 2WD,17.5914,Automatic,6,RWD,5.3,8,Std SUV,Y,Natural,Regular,None,N
GMC,Yukon C1500 2WD,17.5914,Automatic,6,RWD,5.3,8,Std SUV,Y,Natural,Regular,None,N
GMC,Yukon C1500 XL 2WD,17.5914,Automatic,6,RWD,5.3,8,Std SUV,Y,Natural,Regular,None,N
GMC,Yukon C1500 XL 2WD,17.1741,Automatic,10,RWD,6.2,8,Std SUV,Y,Natural,Premium,None,N
Cadillac,Escalade 4WD,16.5637,Automatic,10,4WD,6.2,8,Std SUV,Y,Natural,Premium,None,N
Chevrolet,Suburban K1500 4WD,16.3683,Automatic,6,4WD,5.3,8,Std SUV,Y,Natural,Regular,FFV,N
GMC,Yukon K1500 4WD,17.32,Automatic,6,4WD,5.3,8,Std SUV,Y,Natural,Regular,FFV,N
GMC,Yukon K1500 XL 4WD,15.9496,Automatic,10,4WD,6.2,8,Std SUV,Y,Natural,Premium,None,N
GMC,Yukon K1500 4WD,16.8656,Automatic,10,4WD,6.2,8,Std SUV,Y,Natural,Premium,None,N
Mercedes-Benz,AMG GT C Coupe,17.4463,Manual,7,RWD,4,8,Two Seater,Y,Turbo,Premium,None,Y
Kia,Stinger AWD,24.1415,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Kia,Stinger RWD,24.5081,Automatic,8,RWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Kia,Stinger AWD,19.9185,Automatic,8,AWD,3.3,6,Midsize,Y,Turbo,Premium,None,Y
Kia,Stinger RWD,20.1077,Automatic,8,RWD,3.3,6,Midsize,Y,Turbo,Premium,None,Y
Kia,Sorento AWD,20.444,Automatic,8,AWD,3.3,6,Sm SUV,Y,Natural,Regular,None,N
Chevrolet,Suburban C1500 2WD,17.1741,Automatic,10,RWD,6.2,8,Std SUV,Y,Natural,Premium,None,N
Chevrolet,Suburban K1500 4WD,15.9496,Automatic,10,4WD,6.2,8,Std SUV,Y,Natural,Premium,None,N
Porsche,Cayenne Turbo,16.9743,Automatic,8,AWD,4,8,Std SUV,Y,Turbo,Premium,None,Y
Nissan,GT-R,18.3595,Manual,6,AWD,3.8,6,Subcompact,N,Turbo,Premium,None,N
Genesis,G90 AWD,19.9948,Automatic,8,AWD,3.3,6,Large,Y,Turbo,Premium,None,N
Genesis,G90 RWD,20.2402,Automatic,8,RWD,3.3,6,Large,Y,Turbo,Premium,None,N
Chevrolet,Colorado 2WD,23.3948,Automatic,6,RWD,2.8,4,Sm Pickup Truck,N,Turbo,Diesel,Diesel,Y
Chevrolet,Colorado 2WD,20.1722,Automatic,8,RWD,3.6,6,Sm Pickup Truck,Y,Natural,Regular,None,N
Chevrolet,Colorado 2WD,21.8534,Automatic,6,RWD,2.5,4,Sm Pickup Truck,Y,Natural,Regular,None,N
GMC,Canyon 2WD,23.3948,Automatic,6,RWD,2.8,4,Sm Pickup Truck,N,Turbo,Diesel,Diesel,Y
GMC,Canyon 2WD,21.8534,Automatic,6,RWD,2.5,4,Sm Pickup Truck,Y,Natural,Regular,None,N
Chevrolet,Colorado ZR2 4WD,19.416,Automatic,6,4WD,2.8,4,Sm Pickup Truck,N,Turbo,Diesel,Diesel,Y
Chevrolet,Colorado 4WD,22.3186,Automatic,6,4WD,2.8,4,Sm Pickup Truck,N,Turbo,Diesel,Diesel,Y
Chevrolet,Colorado ZR2 4WD,16.6991,Automatic,8,4WD,3.6,6,Sm Pickup Truck,Y,Natural,Regular,None,N
Chevrolet,Colorado 4WD,20.7689,Automatic,6,4WD,2.5,4,Sm Pickup Truck,Y,Natural,Regular,None,N
GMC,Canyon 4WD,20.7689,Automatic,6,4WD,2.5,4,Sm Pickup Truck,Y,Natural,Regular,None,N
Ford,EcoSport FWD,27.9226,Automatic,6,FWD,1,3,Sm SUV,Y,Turbo,Regular,None,Y
